http://opensourceecology.org/wiki/Power_Cube_6/Bill_of_Materials,,,,,,,,
,,,,,,,,
Line, Qty,Supplier, Part#, Description,Quote,Purchase Price,Purchase date,Notes
1,2,surpluscenter.com,9-7843-12,"3/4"" NPT FORGED WELD-IN TANK FLANGE",$2.75,,,
2,1,surpluscenter.com,9-7287-10,"10"" RESERVOIR SIGHT LEVEL GAUGE W/TH",$20.99,,,
3,1,surpluscenter.com,9-5404-12-12,3/4 NPT HEX NIPPLE,$2.65,,,
4,1,surpluscenter.com,9-4604-16-16,"1"" HOSEBARB TO SAE 16M ADAPTER 4604-1",$7.19,,,
5,1,surpluscenter.com,9-4404-16-16,"1"" HOSEBARB TO 1 NPTM ADAPTER 4404-16-16",$6,,,
6,1,surpluscenter.com,455-AA,"1/4"" HOSE BARB X 1/4"" NPTM 4244-4-4",$1.25,,,
7,2,surpluscenter.com,28-1478,"1/4"" NPTM X 1/4"" I.D. HOSE BARB STEEL ELBOW",$0.49,,,
8,1,surpluscenter.com,9-059,"3/4"" NPT 20 GPM FA1200-10 RETURN FILTER",$17.95,,,
9,1,surpluscenter.com,9-7290-100,"1-1/2"" NPTM TO 1"" NPTF 14 GPM TANK STRAINER",$19.95,,,
10,4,surpluscenter.com,9-2501-12-12,JIC 12M x 3/4 NPTM 90 ELBOW,$5.59,,,
11,1,surpluscenter.com,951-2230,"3/4"" X 30"" JIC 12F X JIC 12F 3000 PSI HYD HOSE",$21,,,
12,1,surpluscenter.com,951-2224,"3/4"" X 24"" JIC 12F X JIC 12F 3000 PSI HYD HOSE",$19,,,
13,1,surpluscenter.com,9-6801-L-10-10,JIC 10M TO SAE 10M LONG 90 ELBOW,$6,,,
14,1,surpluscenter.com,9-2501-10-12,JIC 10M x 3/4 NPTM 90 ELBOW,$5.39,,,
15,1,surpluscenter.com,941-2212,"1/2"" X 12"" JIC 10F X JIC 10F 3500 PSI HYD HOSE",$10,,,
16,1,surpluscenter.com,9-4848-E,0.98 cu in HYDRECO HMP3 162025A2 HYD,$105.99,,,
17,1,surpluscenter.com,928-C,"3/4"" QUICK COUPLER S40-6 F/F",$25.95,,,
18,1,surpluscenter.com,9-6314,"1/4"" NPT QUICK COUPLER S40-2",$15.95,,,
19,1,surpluscenter.com,11-1108,12 VDC SPST RELAY STARTER SOLENOID R,$6.95,,,
20,1,surpluscenter.com,1-2849,"49"" THROTTLE CONTROL CABLE W/ T-LEVER",$4.95,,,
21,1,surpluscenter.com,9-7957-12,"3/4"" NPT PLASTIC TANK BREATHER",$4.49,,,
22,1,surpluscenter.com,1-2985,"3/4""-11 TOOTH SPLINED COUPLING",$15.95,,,
23,1,surpluscenter.com,1-1563-E,"1"" SHAFT COUPLER",$11.95,,,
24,1,surpluscenter.com,1-1563-F,"1-1/8"" SHAFT COUPLER",$14.95,,,
25,5,surpluscenter.com,9-1279,"1"" HYD SUCTION/RETURN HOSE (SOLD BY THE FOOT)",$25,,,
26,1,Amazon.com,430-538,Stens 430-538 Starter Switch,$11.11,,,
27,1,Amazon.com,B001OK9ZDI,Universal Wiring Harness,$8.99,,,
28,1,Amazon.com,3653,Hayden Automotive 3653 Adjustable Thermostatic Fan Control,$16.38,,,
29,1,Amazon.com,1268,Hayden Automotive 1268 Heavy Duty Oil Cooler,$122.83,,,
